"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","R","G","B","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","45.23","0.452","0.452","70.2","59.2","44.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","45.73","0.457","0.457","70.6","58.9","43.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","46.23","0.462","0.462","70.0","58.3","42.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","46.73","0.467","0.467","73.3","61.1","44.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","47.23","0.472","0.472","74.9","62.5","45.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","47.73","0.477","0.477","79.3","65.1","46.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","48.23","0.482","0.482","81.4","67.4","48.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","48.73","0.487","0.487","80.2","66.1","47.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","49.23","0.492","0.492","80.2","66.0","47.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","49.73","0.497","0.497","80.9","67.2","48.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","50.23","0.502","0.502","79.1","65.9","48.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","50.73","0.507","0.507","83.1","68.8","50.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
